Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2021/01/01 00:00:00;2021/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;54.4;54.4;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/02 00:00:00;2021/01/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;40.8;40.8;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/03 00:00:00;2021/01/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;34.9;34.875;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/04 00:00:00;2021/01/04 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;33.3;33.325;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/05 00:00:00;2021/01/05 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;33.6;33.575;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/06 00:00:00;2021/01/06 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;35.6;35.55;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/07 00:00:00;2021/01/07 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;50.9;50.85;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/08 00:00:00;2021/01/08 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;57.7;57.7;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/09 00:00:00;2021/01/09 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;53.3;53.25;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/10 00:00:00;2021/01/10 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;65.9;65.85;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/11 00:00:00;2021/01/11 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;59.9;59.875;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/12 00:00:00;2021/01/12 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.7;38.7;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/13 00:00:00;2021/01/13 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;43.0;42.975;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/14 00:00:00;2021/01/14 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;19.6;19.55;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/15 00:00:00;2021/01/15 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;35.2;35.225;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/16 00:00:00;2021/01/16 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;35.0;35.025;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/17 00:00:00;2021/01/17 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.6;38.6;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/18 00:00:00;2021/01/18 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;53.8;53.8;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/19 00:00:00;2021/01/19 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;16.8;16.75;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/20 00:00:00;2021/01/20 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;19.2;19.175;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/21 00:00:00;2021/01/21 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;15.6;15.6;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/22 00:00:00;2021/01/22 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;60.3;60.3;µg-m3;96.0;100;96.0;A;1;48.799168;2.130556
2021/01/23 00:00:00;2021/01/23 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;17.0;16.95;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
