Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2021/01/01 00:00:00;2021/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.8;38.8;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/02 00:00:00;2021/01/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;16.6;16.6;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/03 00:00:00;2021/01/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;15.7;15.7;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/04 00:00:00;2021/01/04 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;15.2;15.15;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/05 00:00:00;2021/01/05 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;3.1;3.1;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/06 00:00:00;2021/01/06 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;5.2;5.15;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/07 00:00:00;2021/01/07 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;27.3;27.3;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/08 00:00:00;2021/01/08 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;29.5;29.5;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/09 00:00:00;2021/01/09 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;24.7;24.7;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/10 00:00:00;2021/01/10 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;37.0;37.0;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/11 00:00:00;2021/01/11 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;42.4;42.4;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/12 00:00:00;2021/01/12 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.7;58.7;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/13 00:00:00;2021/01/13 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;67.2;67.15;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/14 00:00:00;2021/01/14 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;69.1;69.05;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/15 00:00:00;2021/01/15 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;41.1;41.05;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/16 00:00:00;2021/01/16 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;43.5;43.5;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/17 00:00:00;2021/01/17 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.0;57.95;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/18 00:00:00;2021/01/18 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;70.0;69.95;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/19 00:00:00;2021/01/19 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;67.9;67.9;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/20 00:00:00;2021/01/20 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;74.3;74.3;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/21 00:00:00;2021/01/21 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;81.7;81.7;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/22 00:00:00;2021/01/22 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;64.1;64.05;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/23 00:00:00;2021/01/23 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;67.1;67.1;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/24 00:00:00;2021/01/24 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;72.2;72.2;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/25 00:00:00;2021/01/25 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;71.4;71.35;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/26 00:00:00;2021/01/26 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;54.4;54.35;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/01/27 00:00:00;2021/01/27 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;56.8;56.8;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/28 00:00:00;2021/01/28 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;61.9;61.85;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/29 00:00:00;2021/01/29 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;81.5;81.5;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/30 00:00:00;2021/01/30 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;73.3;73.25;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/01/31 00:00:00;2021/01/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;59.7;59.65;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/02/01 00:00:00;2021/02/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;69.0;68.95;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/02 00:00:00;2021/02/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;70.9;70.9;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/03 00:00:00;2021/02/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;78.1;78.1;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/04 00:00:00;2021/02/04 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;59.5;59.5;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/05 00:00:00;2021/02/05 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;76.4;76.4;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/06 00:00:00;2021/02/06 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;44.7;44.65;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/07 00:00:00;2021/02/07 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.6;58.6;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/02/08 00:00:00;2021/02/08 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;46.0;45.95;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/09 00:00:00;2021/02/09 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;31.3;31.25;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/10 00:00:00;2021/02/10 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;44.5;44.45;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/11 00:00:00;2021/02/11 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;65.8;65.75;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/12 00:00:00;2021/02/12 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;61.0;61.0;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/13 00:00:00;2021/02/13 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;61.1;61.05;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/14 00:00:00;2021/02/14 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;62.6;62.6;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/02/15 00:00:00;2021/02/15 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;59.3;59.25;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/16 00:00:00;2021/02/16 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;70.5;70.5;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/17 00:00:00;2021/02/17 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;75.7;75.65;µg-m3;92.0;100;92.0;R;1;48.799168;2.130556
2021/02/18 00:00:00;2021/02/18 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;67.5;67.45;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/19 00:00:00;2021/02/19 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;63.7;63.65;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/02/20 00:00:00;2021/02/20 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;74.8;74.8;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
