tp_id,stop_name,OperatorName,shortName,mode,Nom_commune,Code_insee
AL1071,Gare de Versailles Château Rive Gauche,Keolis Vélizy Vallée de la Bièvre,6182,Bus,Versailles,78646
AL1119,Gare des Chantiers - Cour de Buc,Keolis Vélizy Vallée de la Bièvre,6161,Bus,Versailles,78646
AL1120,Gare des Chantiers - États Généraux,Keolis Vélizy Vallée de la Bièvre,6161,Bus,Versailles,78646
AL1430,Gare Versailles Château Rive Gauche - Sceaux,Transdev Versailles,6240,Bus,Versailles,78646
AL1431,Gare routière de Versailles Chantiers - Quai K,Transdev Versailles,6240,Bus,Versailles,78646
AL1432,Les Matelots,Transdev Versailles,6240,Bus,Versailles,78646
AL1433,Quartier Gally,Transdev Versailles,6240,Bus,Versailles,78646
AL1437,Rue de Satory,Francilité Saint-Quentin-en-Yvelines,5102,Bus,Versailles,78646
AL1530,Lycée Hoche,Transdev Versailles,6284,Bus,Versailles,78646
AL1534,Europe,Transdev Versailles,6284,Bus,Versailles,78646
AL1535,Gare des Chantiers - Cour de Buc,Transdev Versailles,6284,Bus,Versailles,78646
AL1906,Ménagerie,Francilité Saint-Quentin-en-Yvelines,5134,Bus,Versailles,78646
AL1907,Stand de Tir,Francilité Saint-Quentin-en-Yvelines,5134,Bus,Versailles,78646
AL1908,Ménagerie,Francilité Saint-Quentin-en-Yvelines,5134,Bus,Versailles,78646
AL2311,Porchefontaine / Octroi,Transdev Sud Yvelines,N161,Bus,Versailles,78646
AL2318,Porchefontaine / Octroi,Transdev Sud Yvelines,N161,Bus,Versailles,78646
AL2319,Les Matelots,Transdev Sud Yvelines,N161,Bus,Versailles,78646
AL2559,Université,RATP,471,Bus,Versailles,78646
AL2560,Etats-Unis Université,RATP,471,Bus,Versailles,78646
AL2561,Gare de Versailles - Rive Droite Bd de la Reine,RATP,471,Bus,Versailles,78646
AL2562,Provence,RATP,471,Bus,Versailles,78646
AL2938,Place de la Loi,Keolis Vélizy Vallée de la Bièvre,6179,Bus,Versailles,78646
AL2939,Gare des Chantiers - Cour de Buc,Keolis Vélizy Vallée de la Bièvre,6179,Bus,Versailles,78646
AL2940,Gare de Versailles Rive Droite,Keolis Vélizy Vallée de la Bièvre,6179,Bus,Versailles,78646
AL2941,Porchefontaine / Octroi,Keolis Vélizy Vallée de la Bièvre,6180,Bus,Versailles,78646
AL3050,Gare routière de Versailles Chantiers - Quai I,SNCF,N,LocalTrain,Versailles,78646
AL4182,Place de la Brèche,Transdev Versailles,6209,Bus,Versailles,78646
AL4185,Alexandre 1er,Transdev Versailles,6210,Bus,Versailles,78646
AL4186,Europe,Transdev Versailles,6210,Bus,Versailles,78646
AL4187,Préfecture,Transdev Versailles,6210,Bus,Versailles,78646
AL4188,Tournelles,Transdev Versailles,6210,Bus,Versailles,78646
