service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:1,1,1,1,1,1,0,0,20250106,20250117
IDFM:10,0,0,0,0,0,1,0,20250111,20250111
IDFM:104,0,0,0,0,0,1,0,20250104,20250104
IDFM:1000,0,0,0,1,1,0,0,20250102,20250103
IDFM:1248,0,0,0,0,0,0,1,20241229,20241229
IDFM:1445,0,0,0,0,0,0,1,20250105,20250105
IDFM:1547,0,0,0,0,0,0,1,20241222,20241222
IDFM:2090,0,0,0,0,0,1,0,20241221,20241228
IDFM:2096,1,1,1,1,1,0,0,20241219,20250117
IDFM:3835,0,1,0,1,0,0,0,20241219,20250116
IDFM:5617,1,0,0,0,0,0,1,20241222,20250113
IDFM:10001,1,1,0,1,1,0,0,20241219,20250103
IDFM:10004,0,0,0,0,0,1,0,20241221,20250104
IDFM:10025,0,0,0,0,0,0,1,20241222,20250105
IDFM:10026,0,0,0,0,0,0,1,20250112,20250112
IDFM:10030,0,0,1,0,0,0,0,20241225,20250101
IDFM:10085,1,1,0,1,1,0,0,20241223,20250103
IDFM:10196,1,1,0,1,1,0,0,20250106,20250117
IDFM:10218,0,0,1,0,0,0,0,20250108,20250115
IDFM:15097,1,1,1,1,1,0,0,20250106,20250117
IDFM:15141,1,1,0,1,1,1,0,20241219,20250104
IDFM:15397,0,0,1,0,0,0,0,20250108,20250115
IDFM:16021,0,0,0,0,1,0,0,20241220,20250117
IDFM:16604,1,1,1,1,1,0,1,20241219,20250117
IDFM:16638,0,0,0,0,1,1,0,20241220,20250117
IDFM:17419,0,0,1,1,1,0,0,20241219,20250117
IDFM:17445,0,0,1,0,0,0,0,20241225,20250115
IDFM:18273,1,1,1,1,1,0,0,20241219,20250117
IDFM:18561,1,1,1,1,1,1,1,20241219,20250117
IDFM:18572,0,0,0,0,0,1,1,20241221,20250112
IDFM:19773,0,0,0,0,0,0,1,20241229,20250105
IDFM:20339,0,0,1,0,1,0,0,20250108,20250117
IDFM:20349,1,1,0,1,0,0,0,20250106,20250116
IDFM:21480,0,1,1,0,1,1,0,20241224,20250104
IDFM:21609,1,0,0,0,0,0,0,20250113,20250113
IDFM:21844,0,1,1,1,1,0,0,20250107,20250117
IDFM:23006,0,0,0,0,0,1,1,20241221,20241222
IDFM:23045,0,0,0,0,0,1,1,20241228,20250105
IDFM:23067,0,0,0,0,0,1,1,20250111,20250112
IDFM:24612,0,0,0,0,0,0,1,20241229,20250105
IDFM:24660,1,1,0,1,1,1,0,20241223,20250104
IDFM:24661,1,1,1,1,1,1,0,20241219,20250117
IDFM:28766,0,0,1,0,0,0,1,20241225,20250112
IDFM:30536,0,0,1,0,0,0,1,20241225,20250112
IDFM:40887,0,1,0,1,1,0,0,20241219,20241231
IDFM:40966,0,1,1,1,1,0,0,20250102,20250117
IDFM:48859,1,1,0,1,1,0,0,20241219,20250117
IDFM:56156,0,1,0,1,1,0,0,20250102,20250117
IDFM:71273,0,0,1,0,0,0,1,20250101,20250105
IDFM:72237,1,0,0,1,1,0,0,20241219,20250110
IDFM:74595,0,0,0,0,0,1,1,20241221,20250112
IDFM:78619,1,1,0,1,1,0,0,20241223,20250103
IDFM:79385,0,0,0,0,0,0,1,20241222,20250112
IDFM:88723,1,1,0,0,1,0,0,20241220,20250117
IDFM:88842,0,0,0,0,0,0,1,20241222,20250112
IDFM:89275,1,1,0,0,1,0,0,20241223,20250103
IDFM:89791,1,1,1,0,1,0,0,20241220,20250117
IDFM:89794,0,0,1,1,0,0,0,20241219,20250116
IDFM:95633,0,1,0,0,1,0,0,20241220,20241231
IDFM:96458,0,0,0,1,1,0,0,20241219,20250117
