id_time,Date de début,month,year,quarter
1,2021-01-01,1,2021,1
2,2021-01-02,1,2021,1
3,2021-01-03,1,2021,1
4,2021-01-04,1,2021,1
5,2021-01-05,1,2021,1
6,2021-01-06,1,2021,1
7,2021-01-07,1,2021,1
8,2021-01-08,1,2021,1
9,2021-01-09,1,2021,1
10,2021-01-10,1,2021,1
11,2021-01-11,1,2021,1
12,2021-01-12,1,2021,1
13,2021-01-13,1,2021,1
14,2021-01-14,1,2021,1
15,2021-01-15,1,2021,1
16,2021-01-16,1,2021,1
17,2021-01-17,1,2021,1
18,2021-01-18,1,2021,1
19,2021-01-19,1,2021,1
20,2021-01-20,1,2021,1
21,2021-01-21,1,2021,1
22,2021-01-22,1,2021,1
23,2021-01-23,1,2021,1
24,2021-01-24,1,2021,1
25,2021-01-25,1,2021,1
26,2021-01-26,1,2021,1
27,2021-01-27,1,2021,1
28,2021-01-28,1,2021,1
29,2021-01-29,1,2021,1
30,2021-01-30,1,2021,1
31,2021-01-31,1,2021,1
32,2021-02-01,2,2021,1
33,2021-02-02,2,2021,1
34,2021-02-03,2,2021,1
35,2021-02-04,2,2021,1
36,2021-02-05,2,2021,1
37,2021-02-06,2,2021,1
38,2021-02-07,2,2021,1
39,2021-02-08,2,2021,1
40,2021-02-09,2,2021,1
41,2021-02-10,2,2021,1
42,2021-02-11,2,2021,1
43,2021-02-12,2,2021,1
44,2021-02-13,2,2021,1
45,2021-02-14,2,2021,1
46,2021-02-15,2,2021,1
47,2021-02-16,2,2021,1
48,2021-02-17,2,2021,1
49,2021-02-18,2,2021,1
50,2021-02-19,2,2021,1
51,2021-02-20,2,2021,1
52,2021-02-21,2,2021,1
53,2021-02-22,2,2021,1
54,2021-02-23,2,2021,1
55,2021-02-24,2,2021,1
56,2021-02-25,2,2021,1
57,2021-02-26,2,2021,1
58,2021-02-27,2,2021,1
59,2021-02-28,2,2021,1
60,2021-03-01,3,2021,1
61,2021-03-02,3,2021,1
62,2021-03-03,3,2021,1
63,2021-03-04,3,2021,1
64,2021-03-05,3,2021,1
65,2021-03-06,3,2021,1
66,2021-03-07,3,2021,1
67,2021-03-08,3,2021,1
68,2021-03-09,3,2021,1
69,2021-03-10,3,2021,1
70,2021-03-11,3,2021,1
71,2021-03-12,3,2021,1
72,2021-03-13,3,2021,1
73,2021-03-14,3,2021,1
74,2021-03-15,3,2021,1
75,2021-03-16,3,2021,1
76,2021-03-17,3,2021,1
77,2021-03-18,3,2021,1
78,2021-03-19,3,2021,1
79,2021-03-20,3,2021,1
80,2021-03-21,3,2021,1
81,2021-03-22,3,2021,1
82,2021-03-23,3,2021,1
83,2021-03-24,3,2021,1
84,2021-03-25,3,2021,1
85,2021-03-26,3,2021,1
