id_commune,id_time,id_pol,valeur
1,1,P2,38.8
1,2,P2,16.6
1,3,P2,15.7
1,4,P2,15.2
1,5,P2,3.1
1,6,P2,5.2
1,7,P2,27.3
1,8,P2,29.5
1,9,P2,24.7
1,10,P2,37.0
1,11,P2,42.4
1,12,P2,58.7
1,13,P2,67.2
1,14,P2,69.1
1,15,P2,41.1
1,16,P2,43.5
1,17,P2,58.0
1,18,P2,70.0
1,19,P2,67.9
1,20,P2,74.3
1,21,P2,81.7
1,22,P2,64.1
1,23,P2,67.1
1,24,P2,72.2
1,25,P2,71.4
1,26,P2,54.4
1,27,P2,56.8
1,28,P2,61.9
1,29,P2,81.5
1,30,P2,73.3
1,31,P2,59.7
1,32,P2,69.0
1,33,P2,70.9
1,34,P2,78.1
1,35,P2,59.5
1,36,P2,76.4
1,37,P2,44.7
1,38,P2,58.6
1,39,P2,46.0
1,40,P2,31.3
1,41,P2,44.5
1,42,P2,65.8
1,43,P2,61.0
1,44,P2,61.1
1,45,P2,62.6
1,46,P2,59.3
1,47,P2,70.5
1,48,P2,75.7
1,49,P2,67.5
1,50,P2,63.7
1,51,P2,74.8
1,52,P2,82.4
1,53,P2,74.9
1,54,P2,71.1
1,55,P2,76.4
1,56,P2,61.4
1,57,P2,52.8
1,58,P2,56.1
1,59,P2,56.8
1,60,P2,50.5
1,61,P2,88.7
1,62,P2,84.8
1,63,P2,63.2
1,64,P2,57.9
1,65,P2,55.3
1,66,P2,58.6
1,67,P2,56.3
1,68,P2,65.1
1,69,P2,86.6
1,70,P2,77.0
1,71,P2,79.9
1,72,P2,84.6
1,73,P2,74.9
1,74,P2,75.2
1,75,P2,62.6
1,76,P2,60.8
1,77,P2,55.5
1,78,P2,57.8
1,79,P2,65.6
1,80,P2,65.9
1,81,P2,66.8
1,82,P2,79.5
1,83,P2,96.0
1,84,P2,80.6
1,85,P2,82.4
1,86,P2,79.2
1,87,P2,92.7
1,88,P2,105.4
1,89,P2,107.7
1,90,P2,116.7
1,91,P2,92.3
1,92,P2,62.7
1,93,P2,67.7
1,94,P2,79.0
1,95,P2,67.7
1,96,P2,69.5
1,97,P2,82.4
1,98,P2,93.0
1,99,P2,93.3
1,100,P2,71.3
1,101,P2,63.5
1,102,P2,82.5
1,103,P2,72.8
1,104,P2,73.0
1,105,P2,73.1
1,106,P2,70.5
1,107,P2,79.6
1,108,P2,79.9
1,109,P2,98.9
1,110,P2,91.1
1,111,P2,95.2
1,112,P2,73.9
1,113,P2,86.9
1,114,P2,92.5
1,115,P2,83.3
1,116,P2,81.7
1,117,P2,94.4
1,118,P2,119.3
1,119,P2,86.9
1,120,P2,73.2
1,121,P2,80.8
1,122,P2,100.5
1,123,P2,106.2
1,124,P2,93.7
1,125,P2,74.6
1,126,P2,67.4
1,127,P2,93.7
1,128,P2,85.7
1,129,P2,111.8
1,130,P2,90.0
1,131,P2,85.6
1,132,P2,85.8
1,133,P2,77.5
1,134,P2,79.5
1,135,P2,81.5
1,136,P2,79.2
1,137,P2,74.4
